"loan_date","est_yield","est_loss","est_return","rating","year"
2013-12-13,0.15512,0.0749,0.08022,"C","2013"
2013-11-27,0.12898,0.0549,0.07408,"B","2013"
2013-11-22,0.22987,0.1325,0.09737,"E","2013"
2013-09-11,0.1061,0.0349,0.0712,"A","2013"
2013-05-29,0.1292,0.0474,0.0818,"B","2013"
2013-12-30,0.17019,0.0874,0.08279,"C","2013"
2013-09-06,0.0684,0.0174,0.051,"AA","2013"
2013-10-07,0.18316,0.0925,0.09066,"D","2013"
2013-03-28,0.2064,0.1025,0.1039,"D","2013"
2013-03-25,0.1536,0.0624,0.0912,"C","2013"
2013-07-19,0.1148,0.0399,0.0749,"A","2013"
2013-11-27,0.18316,0.0925,0.09066,"D","2013"
2013-10-08,0.15264,0.0674,0.08524,"C","2013"
2013-06-10,0.126,0.0424,0.0836,"B","2013"
2013-11-25,0.11929,0.0424,0.07689,"B","2013"
2013-12-05,0.11567,0.0449,0.07077,"B","2013"
2013-08-20,0.103,0.0324,0.0706,"A","2013"
2013-10-30,0.08266,0.0224,0.06026,"A","2013"
2013-11-21,0.07506,0.0199,0.05516,"AA","2013"
2013-12-31,0.08619,0.0274,0.05879,"A","2013"
2013-10-04,0.1238,0.0449,0.0789,"B","2013"
2013-08-23,0.1181,0.0399,0.0782,"A","2013"
2013-07-17,0.1829,0.0724,0.1105,"C","2013"
2013-11-19,0.13144,0.0499,0.08154,"B","2013"
2013-03-08,0.2274,0.1075,0.1199,"D","2013"
2013-10-01,0.14963,0.0649,0.08473,"C","2013"
2013-07-05,0.1512,0.0549,0.0963,"B","2013"
2013-09-20,0.10568,0.0349,0.07078,"A","2013"
2013-04-12,0.276,0.1575,0.1185,"HR","2013"
2013-06-17,0.1679,0.0724,0.0955,"C","2013"
2013-12-17,0.22987,0.1325,0.09737,"E","2013"
2013-10-17,0.1148,0.0399,0.0749,"A","2013"
2013-06-26,0.0647,0.0149,0.0498,"AA","2013"
2013-08-16,0.1575,0.0574,0.1001,"B","2013"
2013-08-05,0.2064,0.1025,0.1039,"D","2013"
2013-08-16,0.2085,0.0925,0.116,"D","2013"
2013-09-09,0.1292,0.0474,0.0818,"B","2013"
2013-12-16,0.16463,0.0824,0.08223,"C","2013"
2013-08-21,0.2254,0.1175,0.1079,"D","2013"
2013-06-21,0.1148,0.0399,0.0749,"A","2013"
2013-12-13,0.16463,0.0824,0.08223,"C","2013"
2013-10-17,0.13449,0.0524,0.08209,"B","2013"
2013-11-18,0.07038,0.0174,0.05298,"AA","2013"
2013-11-13,0.17416,0.0849,0.08926,"C","2013"
2013-07-26,0.103,0.0324,0.0706,"A","2013"
2013-11-19,0.20859,0.1125,0.09609,"D","2013"
2013-12-09,0.14814,0.0699,0.07824,"C","2013"
2013-12-20,0.109,0.0399,0.0691,"A","2013"
